source,target,regex,code,type,hits,title,status
"/Every move begins with a pre-trip meeting","https://www.esc.org/about/related-article/every-move-begins-with-a-pre-trip-meeting/",0,301,"url",0,"","active"
"/Flagger Apparel Reference Guide","https://www.esc.org/about/related-article/flagger-apparel/",0,301,"url",0,"","active"
"/Glow On: High-Visibility Work Zone Safety Apparel","https://www.esc.org/about/related-article/glow-on/",0,301,"url",0,"","active"
"/Heatstroke Prevention, Symptoms and Treatment","https://www.esc.org/about/related-article/heatstroke-prevention/",0,301,"url",0,"","active"
"/Pilot Car Insurance is a Must","https://www.esc.org/about/related-article/insurance/",0,301,"url",0,"","active"
"/Let’s Get it Started","https://www.esc.org/about/related-article/lets-get-it-started/",0,301,"url",0,"","active"
"/National Work Zone Awareness Week &#8211; April 11-15, 2022","https://www.esc.org/about/related-article/national-work-zone-awareness-week/",0,301,"url",0,"","active"
"/Online Training Sucks","https://www.esc.org/about/related-article/online-training-sucks/",0,301,"url",0,"","active"
"/Pilot Car Operator Training: Now Online!","https://www.esc.org/about/related-article/outside/",0,301,"url",0,"","active"
"/Oversize Load Bridge Hits: A growing problem with one simple solution.","https://www.esc.org/about/related-article/oversize/",0,301,"url",0,"","active"
"/P/EVO distracted driving article","https://www.esc.org/about/related-article/p-evo-distracted-driving-article/",0,301,"url",0,"","active"
"/P/EVO supplies","https://www.esc.org/about/related-article/p-evo-supplies/",0,301,"url",0,"","active"
"/Pedestrian safety","https://www.esc.org/about/related-article/pedestrian-safety/",0,301,"url",0,"","active"
"/Pilot Car (P/EVO) Glossary","https://www.esc.org/about/related-article/pilot-car-glossary/",0,301,"url",0,"","active"
"/High Pole Basics","https://www.esc.org/about/related-article/pilot-car-high-pole/",0,301,"url",0,"","active"
"/Pilot Car Certification Test Preparation Guide","https://www.esc.org/about/related-article/pilot-car-practice-test/",0,301,"url",0,"","active"
"/Pilot/Escort Vehicle Insurance","https://www.esc.org/about/related-article/pilot-escort-vehicle-insurance/",0,301,"url",0,"","active"
"/Evergreen Safety Council Privacy Notice","https://www.esc.org/about/related-article/privacy/",0,301,"url",0,"","active"
"/Railroad safety for Oversize Loads","https://www.esc.org/about/related-article/railroad-safety-for-oversize-loads/",0,301,"url",0,"","active"
"/Speeding","https://www.esc.org/about/related-article/speeding/",0,301,"url",0,"","active"
"/The safety guy","https://www.esc.org/about/related-article/the-safety-guy/",0,301,"url",0,"","active"
"/The truth about forklift certification","https://www.esc.org/about/related-article/the-truth-about-forklift-certification/",0,301,"url",0,"","active"
"/The Tipping Point","https://www.esc.org/about/related-article/tipping-point/",0,301,"url",0,"","active"
"/What is the 3-4 Second Rule?","https://www.esc.org/about/related-article/what-is-the-3-4-second-rule/",0,301,"url",0,"","active"
"/Five Simple Things You Can Do to Get Ready for Winter Driving","https://www.esc.org/about/related-article/winter-driving/",0,301,"url",0,"","active"
"/How to access your online WITPAC course","https://www.esc.org/about/related-article/witpac-online/",0,301,"url",0,"","active"
"/Witpac Certification Authorized Training Providers","https://www.esc.org/about/related-article/witpac-training/",0,301,"url",0,"","active"
"/Team","https://www.esc.org/about/team/",0,301,"url",0,"","active"
"/The Governor John D. Spellman Safety Award","https://www.esc.org/awards/",0,301,"url",0,"","active"
"/Cart","https://www.esc.org/cart/",0,301,"url",0,"","active"
"/Checkout","https://www.esc.org/checkout/",0,301,"url",0,"","active"
"/Colorado Student Info &#8211; Esign","https://www.esc.org/colorado-student-info-esign/",0,301,"url",0,"","active"
"/Thank You Page &#8211; Contact US","https://www.esc.org/contact-us-thank-you/",0,301,"url",0,"","active"
"/Instructor Forms","https://www.esc.org/courses/courses_tc_forms/",0,301,"url",0,"","active"
"/Protective Measures","https://www.esc.org/covid-19/",0,301,"url",0,"","active"
"/Credits (Pilot Car Video)","/",0,301,"url",0,"","active"
"/Video Credits","https://www.esc.org/credits/",0,301,"url",0,"","active"
"/Elementor Home","https://www.esc.org/elementor-home/",0,301,"url",0,"","active"
"/Email List Thank You Page","https://www.esc.org/email/",0,301,"url",0,"","active"
"/Email","https://www.esc.org/email/",0,301,"url",0,"","active"
"/EverSafe Training Demo","https://www.esc.org/eversafe-demo/",0,301,"url",0,"","active"
"/FAQs","https://www.esc.org/faqs/",0,301,"url",0,"","disabled"
"/Are cards from other states accepted in Colorado?","https://www.esc.org/faqs/are-cards-from-other-states-accepted-in-colorado/",0,301,"url",0,"","active"
"/Are cards from other states accepted in Washington?","https://www.esc.org/faqs/are-cards-from-other-states-accepted-in-washington/",0,301,"url",0,"","active"
"/Can I demo this course before purchasing?","https://www.esc.org/faqs/can-i-demo-this-course-before-purchasing/",0,301,"url",0,"","active"
"/Can I share a computer with another student?","https://www.esc.org/faqs/can-i-share-a-computer-with-another-student/",0,301,"url",0,"","active"
"/Can I use my card in other states?","https://www.esc.org/faqs/can-i-use-my-card-in-other-states/",0,301,"url",0,"","active"
"/Do I have to have a picture on my card?","https://www.esc.org/faqs/do-i-have-to-have-a-picture-on-my-card/",0,301,"url",0,"","active"
"/Do I need a practical examination alongside this training?","https://www.esc.org/faqs/do-i-need-a-practical-examination-alongside-this-training/",0,301,"url",0,"","active"
"/Flagger Course Policies & Fine Print","https://www.esc.org/faqs/flagger-course-policies-fine-print/",0,301,"url",0,"","active"
