source,target,code,type
/witpac-pre-class-information-new-template/,/program/pilot-car/pre-class-information/witpac,301,url
/defensive-driving/,/program/eversafe,301,url
/flagger/,/program/flagger,301,url
/forklift/,/program/forklift-training,301,url
/newsroom/,/safety-library-categories/news,301,url
/pilot-car-and-witpac/,/program/pilot-car,301,url
/program/forklift/pdf-instructor-kit,/program/forklift-training/instructor-kit,301,url
/forklift/osha-regulations-for-forklifts-powered-industrial-trucks/,/safety-library/osha-regulations-for-forklifts-powered-industrial-trucks,301,url
/program/forklift/forklift-instructor-training/,/program/forklift-training/instructor,301,url
/program/forklift/forklift-instructor-training-2025-version/,/program/forklift-training/instructor-kit,301,url
/faqs/am-i-qualified-to-become-a-forklift-instructor/,/faq,301,url
/wa-state-flagger-manual,https://cdn.prod.website-files.com/684fa28e292bf57f395a7b57/6902aca9739bf927c1c9ef8f_TTCFOM_withESClogo.pdf,301,url
/newsroom/spellman-award-winner-derek-wilson-inspiring-people-and-creating-opportunities/,/safety-library/spellman-award-winner-derek-wilson-inspiring-people-and-creating-opportunities,301,url
/program/forklift/,/program/forklift-training,301,url
/forklift-program-new-program-page-2024/,/program/forklift-training,301,url
/forklift-program-2024-program-pg-spanish/,/program/entrenamiento-de-forklift,301,url
/program/forklift-2020/online/,/program/forklift-training/operator-online,301,url
/program/forklift-2020/online-operator-training/,/program/forklift-training/operator-online,301,url
/program/forklift-2020/forklift-online-training-2025-version-spanish/,/program/entrenamiento-de-forklift/online-es,301,url
/program/entrenamiento-en-forklift/online-espanol/,/program/entrenamiento-de-forklift/online-es,301,url
/program/forklift-2020/instructor-training/,/program/forklift-training/instructor-kit,301,url
/program/forklift-2020/forklift-instructor-training-2025/,/program/forklift-training/instructor-kit,301,url
/program/forklift-2020/forklift-instructor-training-2025-version-spanish/,/program/entrenamiento-de-forklift/instructores,301,url
/program/forklift-2020/forklift-pdf-kit-2025-version/,/program/forklift-training,301,url
/program/forklift-2020/forklift-pdf-instructor-kit-2025-version-spanish/,/program/entrenamiento-de-forklift/instructores-kit-es,301,url
/program/forklift-training/forklift-pdf-kit-2025-version/,/program/forklift-training,301,url
/program/entrenamiento-en-forklift/forklift-pdf-instructor-kit-2025-version-spanish/,/program/entrenamiento-de-forklift/instructores-kit-es,301,url
/program/forklift-2020/forklift-on-site-training/,/program/forklift-training,301,url
/program/forklift-training/instructor-training/,/program/forklift-training/instructor,301,url
/program/forklift-training/online/,/program/forklift-training/operator-online,301,url
/program/entrenamiento-en-forklift/,/program/entrenamiento-de-forklift,301,url
/program/forklift-training/eversafe-online-25/,/program/eversafe/online,301,url
/current-pilot-car-operator-list/,/resources/certification-verification,301,url
/program/utility-vehicle/,/program/eversafe/utility-vehicle,301,url
/program/defensive-driving/,/program/eversafe,301,url
/program/defensive-driving/eversafe-driving-program-on-site-training/,/program/eversafe,301,url
/program/defensive-driving/eversafe-driving-program-instructor-training/,/program/eversafe/instructor-training,301,url
